Plot,RGR,survived,WD,SLA,DBH,sp
2,0.000553091225572455,0,0.74366273,7.4861881,13.0726563518399,Rehdera_trinervis
2,0.00329234080018459,0,0.18248994,11.2485639,19.225174655969,Cochlospermum_vitifolium
2,0.0126031507794706,1,0.74366273,7.4861881,14.3509042339203,Rehdera_trinervis
2,0.0263849087564205,1,0.0,0.0,11.415126787322,Eugenia_monticola
2,0.0273907178887267,1,0.69223065,7.20018409,12.1154732721686,Ardisia_revoluta
2,0.00583756447509032,1,0.69223065,7.20018409,11.3270056445873,Ardisia_revoluta
2,0.00469113832635371,1,0.69223065,7.20018409,10.2,Ardisia_revoluta
2,0.00258100276138018,1,0.7263735,8.22539818,12.5065521140816,Genipa_americana
2,0.0203508112523054,1,0.69223065,7.20018409,15.8848873481345,Ardisia_revoluta
2,0.00834098749381873,0,0.74366273,7.4861881,15.4716197243914,Rehdera_trinervis
2,0.0251459643423488,1,0.71462209,9.7854777,0.0,Tabebuia_impetiginosa
2,0.00666013999012671,1,0.76830896,9.21901919,25.3750028750675,Acosmium_panamensis
2,0.00934463999310386,0,0.76830896,9.21901919,14.8270141258612,Acosmium_panamensis
2,0.00334200267414309,0,0.80000511,6.3800396,44.6238563748685,Quercus_oleoides
2,0.00286719237807054,1,0.37741587,10.2421323,11.9005042262441,Cordia_panamensis
2,0.0657346798582252,1,0.52781326,7.25343208,13.785678882213,Ficus_ovalis
2,0.00940451011316457,1,0.67323866,7.35424053,14.8066845076099,Luehea_speciosa
2,0.021638335605473,1,0.80000511,6.3800396,18.9191887722349,Quercus_oleoides
2,0.00283905750942726,0,0.80000511,6.3800396,19.3809295817894,Quercus_oleoides
2,0.0256926203307137,1,0.69223065,7.20018409,13.6170704757821,Ardisia_revoluta
2,0.0177425419468662,1,0.74366273,7.4861881,16.4617802928801,Rehdera_trinervis
2,0.00401149390458233,0,0.80000511,6.3800396,31.5213295894656,Quercus_oleoides
2,0.00861398309106409,1,0.69111815,8.05778656,13.1932647966518,Diospyros_nicaraguensis
2,0.0193679558065463,1,0.69223065,7.20018409,15.1613831122952,Ardisia_revoluta
2,0.00422812947603823,1,0.0,0.0,11.4005352282958,Eugenia_manticola
2,0.000566820832335502,0,0.69223065,7.20018409,11.012095775675,Ardisia_revoluta
2,0.0121804183306256,1,0.69223065,7.20018409,10.8798957814321,Ardisia_revoluta
2,0.0247421576366693,0,0.73283575,11.3829549,35.3537578104832,Lysiloma_divaricatum
2,0.00911077885551093,1,0.0,0.0,11.6238732414638,Maytenus_segoviarum
2,0.0161981977842607,1,0.69223065,7.20018409,16.3550676103098,Ardisia_revoluta
2,0.0382949517547293,1,0.69223065,7.20018409,12.7619690363293,Ardisia_revoluta
2,0.0150136381202652,1,0.69223065,7.20018409,10.72419155135,Ardisia_revoluta
2,0.020308838658059,1,0.74366273,7.4861881,10.0995296028989,Rehdera_trinervis
2,0.00888967125526152,0,0.43768805,8.26675558,13.5,Bursera_tomentosa
2,0.00896535168952672,1,0.69223065,7.20018409,0.0,Ardisia_revoluta
3,0.0164692120436514,1,0.74366273,7.4861881,11.2938563748685,Rehdera_trinervis
3,0.0265522739644117,0,0.18248994,11.2485639,13.5073887856683,Cochlospermum_vitifolium
3,0.00497718355059806,0,0.74366273,7.4861881,10.008594366927,Rehdera_trinervis
3,0.0514617740997472,0,0.18248994,11.2485639,11.1775211791966,Cochlospermum_vitifolium
3,0.0108371279365205,1,0.74366273,7.4861881,11.3379352263767,Rehdera_trinervis
3,0.011701028801828,1,0.74366273,7.4861881,13.0582028405246,Rehdera_trinervis
3,0.0349781459550038,1,0.77574754,13.7817175,11.5968310365946,Gliricidia_sepium
3,0.0296838516382203,0,0.77574754,13.7817175,13.3393521678149,Gliricidia_sepium
3,0.0636523015240651,1,0.74366273,7.4861881,11.815078918675,Rehdera_trinervis
3,0.0217688231550741,1,0.74366273,7.4861881,15.9985071109068,Rehdera_trinervis
3,0.0123319406752609,1,0.74366273,7.4861881,15.2726084831929,Rehdera_trinervis
3,0.0140863502030708,1,0.74366273,7.4861881,12.9703296182513,Rehdera_trinervis
3,0.0336270894605324,0,0.18248994,11.2485639,17.1259014548052,Cochlospermum_vitifolium
3,0.0132754512773308,1,0.74366273,7.4861881,11.8777014413719,Rehdera_trinervis
3,0.0282560514529808,1,0.18248994,11.2485639,10.429132422314,Cochlospermum_vitifolium
3,0.0507106155656092,1,0.77574754,13.7817175,10.1,Gliricidia_sepium
3,0.0757638010335424,1,0.18248994,11.2485639,0.0,Cochlospermum_vitifolium
3,0.026848913998502,1,0.18248994,11.2485639,11.0405380553871,Cochlospermum_vitifolium
3,0.0152621075132706,1,0.74366273,7.4861881,14.8573014336957,Rehdera_trinervis
3,0.0201379035218596,0,0.74366273,7.4861881,16.2579972304802,Rehdera_trinervis
3,0.0266721788280466,1,0.74366273,7.4861881,11.7156620156177,Rehdera_trinervis
3,0.0327690826500882,1,0.43768805,8.26675558,0.0,Bursera_tomentosa
3,0.0228162093146969,1,0.74366273,7.4861881,10.2561577605879,Rehdera_trinervis
3,0.0247702998507089,1,0.35997774,9.02138266,0.0,Bursera_simaruba
